"Date","sulfate","nitrate","ID"
"2003-10-06",7.21,0.651,1
"2003-10-07",NA,NA,1
"2003-10-12",5.99,0.428,1
"2003-10-13",NA,NA,1
"2003-10-17",NA,NA,1
"2003-10-18",4.68,1.04,1
"2003-10-24",3.47,0.363,1
